Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
119	446.11478	0.0	446.11478	446.11478	1000.0	43.932247	2.612113	49.62643	27.67333	120000	-0.008914198	147.5436	-0.0028130142	-5.4592285	1.8247592	0.0017722192	2325.1841197013855
120	450.16592	0.0	450.16592	450.16592	1000.0	45.553776	2.4607995	51.284664	30.04367	121000	-0.02440439	122.48667	-0.003562227	-5.078171	1.7849113	-0.00060686946	2344.6546397209167
121	497.29456	0.0	497.29456	497.29456	1000.0	43.29764	3.638413	50.33563	23.734568	122000	-0.110849924	172.88928	-0.013726383	-85.16572	1.7385828	0.0043971995	2363.626396179199
122	434.21198	0.0	434.21198	434.21198	1000.0	53.243134	4.299484	59.633564	30.454493	123000	-0.037935644	155.21397	-0.00487661	-73.1808	1.7308042	0.0039224215	2382.1753346920013
123	411.43137	0.0	411.43137	411.43137	1000.0	40.391697	5.272569	50.893776	25.750845	124000	-0.030212937	126.911385	-0.009401372	-3.693184	1.7158252	0.011618469	2400.6222681999207
124	394.51413	0.0	394.51413	394.51413	1000.0	47.688072	2.9808106	51.834927	20.541395	125000	0.031291217	82.7765	-0.00030417927	-27.739216	1.8152678	0.008877237	2419.286857843399
125	430.46582	0.0	430.46582	430.46582	1000.0	37.556908	6.564875	46.937054	22.267553	126000	-0.061784536	138.35017	-0.0051470026	-34.462784	1.7039292	0.0037083516	2437.86829829216
126	498.2872	0.0	498.2872	498.2872	1000.0	43.8803	5.6325107	52.356045	27.709179	127000	-0.14199951	122.270515	-0.009448826	-25.405922	1.7607476	0.0065340754	2456.28675031662
127	530.71814	0.0	530.71814	530.71814	1000.0	48.35745	5.4390664	56.702923	30.42438	128000	-0.013493396	121.87755	-0.008414352	-31.730064	1.700743	0.010503538	2474.8033261299133
128	326.3002	0.0	326.3002	326.3002	1000.0	48.746544	5.0542617	63.239357	31.868866	129000	-0.031020397	250.599	-0.00314877	-157.09149	1.6623492	0.003202842	2493.2520139217377
129	279.13635	0.0	279.13635	279.13635	1000.0	38.515438	6.472557	51.169743	21.219368	130000	-0.022577055	166.69185	-0.00046269596	-87.89329	1.6510122	0.001252714	2511.715318918228
130	533.14465	0.0	533.14465	533.14465	1000.0	34.773228	5.416361	42.76194	18.857958	131000	-0.06294154	340.20343	-0.0025390983	-269.9831	1.7228098	0.00378799	2530.990037202835
131	281.4367	0.0	281.4367	281.4367	1000.0	42.397045	4.8993526	55.753773	27.48937	132000	-0.08799169	225.16782	-0.004883006	-113.956535	1.6080252	0.005335535	2549.6093966960907
132	553.164	0.0	553.164	553.164	1000.0	41.71108	4.776355	49.69345	26.359638	133000	0.04925492	279.8398	-0.0074148253	-163.6801	1.6088306	0.010051152	2568.1232481002808
133	469.82184	0.0	469.82184	469.82184	1000.0	52.92511	5.4411583	61.581882	26.6922	134000	-0.03444025	95.204865	-0.012160458	-18.032097	1.6364012	0.0090227425	2586.603859424591
134	670.0931	0.0	670.0931	670.0931	1000.0	50.54145	5.674887	58.45649	26.853125	135000	-0.023387026	369.27426	-0.0010847766	-247.81151	1.6214429	0.014834697	2605.1546623706818
135	426.2094	0.0	426.2094	426.2094	1000.0	61.890156	6.30025	73.57192	43.464706	136000	-0.0715009	508.1421	-0.0080831945	-225.07584	1.5370024	0.013821605	2623.703991651535
